Geographic Area,Total Population Change1,"Natural Increase2"
.Alabama,2.6,0.8
.Alaska,-3.2,8.1
.Arizona,17.3,3.5
.Arkansas,3.6,2.0
.California,4.0,5.0
.Colorado,14.1,4.9
.Connecticut,-0.3,1.0
.Delaware,10.5,1.5
.District of Columbia,9.7,5.9
.Florida,15.3,0.6
.Georgia,10.2,4.1
.Hawaii,-2.6,3.3
.Idaho,20.3,5.4
.Illinois,-3.5,3.0
.Indiana,4.8,2.9
.Iowa,4.0,3.1
.Kansas,0.3,3.9
.Kentucky,3.3,1.8
.Louisiana,-2.3,3.0
.Maine,2.5,-1.2,9.3
.Maryland,3.0,3.3
.Massachusetts,5.7,1.7
.Michigan,1.9,1.5
.Minnesota,7.7,4.6
.Mississippi,-1.0,1.7
.Missouri,2.9,2.1
.Montana,8.7,2.2
.Nebraska,6.1,5.4
.Nevada,20.6,3.7
.New Hampshire,4.9,0.2
.New Jersey,2.2,2.7
.New Mexico,1.0,2.7
.New York,-2.5,3.1
.North Carolina,10.9,2.5
.North Dakota,6.5,6.1
.Ohio,2.2,1.5
.Oklahoma,2.7,2.7
.Oregon,10.6,2.2
.Pennsylvania,1.3,0.2
.Rhode Island,0.8,0.7
.South Carolina,12.5,1.3
.South Dakota,10.2,5.3
.Tennessee,9.1,1.8
.Texas,13.3,6.7
.Utah,18.5,10.5
.Vermont,2.8,-,9.0
.Virginia,6.2,3.6
.Washington,14.7,4.4
.West Virginia,-6.2,-2.5
.Wisconsin,3.7,2.5
.Wyoming,-2.1,3.3
,,,,,,,
Puerto Rico,-40.6,-2.0
