year,month,state,n_killed,n_injured,incidents
2013,1,California,1,7,2
2013,1,Colorado,4,0,1
2013,1,District of Columbia,0,5,1
2013,1,Louisiana,2,8,2
2013,1,Maryland,1,6,1
2013,1,Missouri,1,3,1
2013,1,New Mexico,5,0,1
2013,1,North Carolina,2,2,1
2013,1,Ohio,2,6,2
2013,1,Oklahoma,4,0,1
2013,1,Pennsylvania,0,4,1
2013,1,Tennessee,1,3,1
2013,2,California,6,14,4
2013,2,Delaware,3,2,1
2013,2,Georgia,0,8,1
2013,2,Illinois,0,4,1
2013,2,Louisiana,0,4,1
2013,2,Michigan,0,4,1
2013,2,Oklahoma,1,3,1
2013,2,Tennessee,0,5,1
2013,2,Utah,4,1,1
2013,3,California,8,21,6
2013,3,District of Columbia,0,13,1
2013,3,Florida,0,5,1
2013,3,Georgia,2,2,1
2013,3,Illinois,0,7,1
2013,3,Indiana,1,3,1
2013,3,Louisiana,1,3,1
2013,3,Michigan,0,4,1
2013,3,Mississippi,2,2,1
2013,3,Missouri,1,8,2
2013,3,New York,7,5,2
2013,3,Washington,3,2,1
2013,4,Arizona,2,4,1
2013,4,California,1,7,2
2013,4,Florida,1,3,1
2013,4,Illinois,6,5,2
2013,4,Kentucky,1,4,1
2013,4,Louisiana,0,5,1
2013,4,New York,1,3,1
2013,4,North Carolina,0,5,1
2013,4,Ohio,4,4,2
2013,4,Pennsylvania,2,6,2
2013,4,South Carolina,1,4,1
2013,4,Tennessee,2,2,1
2013,4,Washington,5,0,1
2013,5,Arizona,0,5,1
2013,5,California,5,8,3
2013,5,Georgia,0,4,1
2013,5,Illinois,0,8,2
2013,5,Indiana,5,0,1
2013,5,Louisiana,0,19,1
2013,5,Maryland,1,0,1
2013,5,Michigan,2,11,3
2013,5,New Jersey,0,11,3
2013,5,New York,1,0,1
2013,5,North Carolina,0,4,1
2013,5,Ohio,0,4,1
2013,5,Pennsylvania,0,12,3
2013,5,Tennessee,5,7,3
2013,5,Virginia,1,8,2
2013,6,California,11,8,4
2013,6,Colorado,0,4,1
2013,6,Georgia,0,7,1
2013,6,Illinois,4,20,5
2013,6,Indiana,0,4,1
2013,6,Louisiana,0,4,1
2013,6,Maryland,1,4,1
2013,6,Missouri,2,17,3
2013,6,New York,0,9,1
2013,6,North Carolina,0,10,2
2013,6,Pennsylvania,0,4,1
2013,6,Rhode Island,1,7,2
2013,6,South Carolina,3,1,1
2013,6,Tennessee,1,8,2
2013,6,Texas,1,3,1
2013,6,Virginia,1,17,3
2013,6,Wisconsin,0,4,1
2013,7,Alabama,0,4,1
2013,7,California,3,14,4
2013,7,Connecticut,0,4,1
2013,7,District of Columbia,0,4,1
2013,7,Florida,8,3,2
2013,7,Illinois,2,11,3
2013,7,Kansas,1,8,2
2013,7,Kentucky,2,2,1
2013,7,Maryland,0,4,1
2013,7,Michigan,1,15,3
2013,7,Mississippi,0,4,1
2013,7,New Jersey,2,4,2
2013,7,New Mexico,0,4,1
